加利尔 AR（纪念品） | 地狱看门犬=Souvenir Galil AR | Cerberus
双持贝瑞塔 | 报应=Dual Berettas | Retribution
FN57（StatTrak™） | 怒氓=StatTrak™ Five-SeveN | Angry Mob
穿肠刀（★） | 蓝钢=★ Gut Knife | Blue Steel
MP9（StatTrak™） | 气密=StatTrak™ MP9 | Airlock
格洛克 18 型（StatTrak™） | 亡者之寝=StatTrak™ Glock-18 | Catacombs
AWP | 巨龙传说=AWP | Dragon Lore
内格夫 | 狮子鱼=Negev | Lionfish
MAC-10 | 都市 DDPAT=MAC-10 | Urban DDPAT
沙漠之鹰 | 机械工业=Desert Eagle | Mecha Industries
M4A4 | 星级=M4A4 | Zirka
法玛斯（StatTrak™） | 雅典娜之眼=StatTrak™ FAMAS | Eye of Athena
P2000（StatTrak™） | 火灵=StatTrak™ P2000 | Fire Elemental
UMP-45（纪念品） | 枯焦之色=Souvenir UMP-45 | Scorched
新星 | 锦鲤=Nova | Koi
熊刀（★） | 森林 DDPAT=★ Ursus Knife | Forest DDPAT
MAG-7（纪念品） | 沙丘之黄=Souvenir MAG-7 | Sand Dune
内格夫 | *哒哒哒*=Negev | Bratatat
穿肠刀（★） | 表面淬火=★ Gut Knife | Case Hardened
锯齿爪刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Talon Knife | Marble Fade
AUG | 众枪之的=AUG | Condemned
P250（StatTrak™） | 暗潮=StatTrak™ P250 | Undertow
弯刀（★ StatTrak™） | 屠夫=★ StatTrak™ Falchion Knife | Slaughter
CZ75 自动手枪（StatTrak™） | 聚合物=StatTrak™ CZ75-Auto | Polymer
SCAR-20 | 沙漠网格=SCAR-20 | Sand Mesh
AUG（StatTrak™） | 弹跳线条=StatTrak™ AUG | Ricochet
CZ75 自动手枪 | 花纹钢板=CZ75-Auto | Tread Plate
猎杀者匕首（★） | 噩梦之夜=★ Huntsman Knife | Night
M4A4 | 杀意大名=M4A4 | Evil Daimyo
Tec-9 | 燃料喷射器=Tec-9 | Fuel Injector
法玛斯（StatTrak™） | 元素轮廓=StatTrak™ FAMAS | Valence
双持贝瑞塔（StatTrak™） | 卡特尔=StatTrak™ Dual Berettas | Cartel
USP 消音版 | 次时代=USP-S | Cyrex
AWP | 鬼退治=AWP | Oni Taiji
弯刀（★ StatTrak™） | 外表生锈=★ StatTrak™ Falchion Knife | Rust Coat
折刀（★ StatTrak™） | 虎牙=★ StatTrak™ Navaja Knife | Tiger Tooth
UMP-45（StatTrak™） | 白骨之堆=StatTrak™ UMP-45 | Bone Pile
USP 消音版（StatTrak™） | 守护者=StatTrak™ USP-S | Guardian
鲍伊猎刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Bowie Knife | Blue Steel
法玛斯（StatTrak™） | 死亡之舞=StatTrak™ FAMAS | Macabre
MP7 | 装甲核心=MP7 | Armor Core
UMP-45 | 支架=UMP-45 | Scaffold
P90 | 白蜡木=P90 | Ash Wood
P250（StatTrak™） | 铠甲=StatTrak™ P250 | Iron Clad
双持贝瑞塔 | 殖民侵略者=Dual Berettas | Colony
MP9 | 焦油缠绕=MP9 | Goo
SG 553（纪念品） | 意式拉力=Souvenir SG 553 | Integrale
猎杀者匕首（★） | 渐变大理石=★ Huntsman Knife | Marble Fade
格洛克 18 型 | 渐变之色=Glock-18 | Fade
折叠刀（★） | 森林 DDPAT=★ Flip Knife | Forest DDPAT
M4A1 消音型（纪念品） | 氮化处理=Souvenir M4A1-S | Nitro
FN57 | 暮色森林=Five-SeveN | Forest Night
穿肠刀（★ StatTrak™） | 北方森林=★ StatTrak™ Gut Knife | Boreal Forest
驾驶手套（★） | 墨绿色调=★ Driver Gloves | Racing Green
PP-野牛 | 设施系列·速写图=PP-Bizon | Facility Sketch
MAC-10（StatTrak™） | 冉吉=StatTrak™ MAC-10 | Rangeen
P2000（StatTrak™） | 海洋=StatTrak™ P2000 | Oceanic
M9 刺刀（★ StatTrak™） | 黑色层压板=★ StatTrak™ M9 Bayonet | Black Laminate
MAG-7 | 银质=MAG-7 | Silver
PP-野牛 | 红苹果=PP-Bizon | Candy Apple
M4A1 消音型（纪念品） | 北方森林=Souvenir M4A1-S | Boreal Forest
PP-野牛（StatTrak™） | 买定离手=StatTrak™ PP-Bizon | High Roller
折刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Navaja Knife | Urban Masked
Tec-9 | 核子威慑=Tec-9 | Nuclear Threat
折刀（★） | 致命紫罗兰=★ Navaja Knife | Ultraviolet
UMP-45（纪念品） | 炽烈之炎=Souvenir UMP-45 | Blaze
爪子刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Karambit | Scorched
AUG | 贵族=AUG | Aristocrat
AK-47（StatTrak™） | 霓虹革命=StatTrak™ AK-47 | Neon Revolution
猎杀者匕首（★ StatTrak™） | 人工染色=★ StatTrak™ Huntsman Knife | Stained
暗影双匕（★） | 噩梦之夜=★ Shadow Daggers | Night
P250 | 日式深红涂装=P250 | Crimson Kimono
CZ75 自动手枪（StatTrak™） | 维多利亚=StatTrak™ CZ75-Auto | Victoria
熊刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Ursus Knife | Blue Steel
M4A1 消音型（StatTrak™） | 机械工业=StatTrak™ M4A1-S | Mecha Industries
G3SG1 | 沙漠风暴=G3SG1 | Desert Storm
MAC-10 | 渐变琥珀=MAC-10 | Amber Fade
暗影双匕（★） | 深红之网=★ Shadow Daggers | Crimson Web
P2000（StatTrak™） | 都市危机=StatTrak™ P2000 | Urban Hazard
内格夫 | 军队之辉=Negev | Army Sheen
M4A1 消音型（StatTrak™） | 血虎=StatTrak™ M4A1-S | Blood Tiger
弯刀（★ StatTrak™） | 虎牙=★ StatTrak™ Falchion Knife | Tiger Tooth
SG 553 | 军队之辉=SG 553 | Army Sheen
UMP-45 | x射线=UMP-45 | Exposure
CZ75 自动手枪 | 毒镖=CZ75-Auto | Poison Dart
猎杀者匕首（★ StatTrak™） | 枯焦之色=★ StatTrak™ Huntsman Knife | Scorched
M4A4 | 战场之星=M4A4 | The Battlestar
CZ75 自动手枪 | 氮化处理=CZ75-Auto | Nitro
CZ75 自动手枪（StatTrak™） | 先驱=StatTrak™ CZ75-Auto | Pole Position
双持贝瑞塔 | 爆破能手=Dual Berettas | Demolition
SCAR-20 | 棕榈色=SCAR-20 | Palm
M249 | 暴雪大理石纹=M249 | Blizzard Marbleized
截短霰弹枪 | 吞噬=Sawed-Off | Devourer
P2000（纪念品） | 工业牧草=Souvenir P2000 | Grassland
刺刀（★ StatTrak™） | 澄澈之水=★ StatTrak™ Bayonet | Bright Water
锯齿爪刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Talon Knife | Fade
XM1014（StatTrak™） | 特克卢喷射者=StatTrak™ XM1014 | Teclu Burner
鲍伊猎刀（★） | 致命紫罗兰=★ Bowie Knife | Ultraviolet
新星 | 沙丘之黄=Nova | Sand Dune
运动手套（★） | 青铜形态=★ Sport Gloves | Bronze Morph
弯刀（★） | 致命紫罗兰=★ Falchion Knife | Ultraviolet
M4A4（StatTrak™） | 渐变斑纹=StatTrak™ M4A4 | Faded Zebra
P2000（StatTrak™） | 乳白象牙=StatTrak™ P2000 | Ivory
爪子刀（★） | 表面淬火=★ Karambit | Case Hardened
新星（StatTrak™） | 玩具士兵=StatTrak™ Nova | Toy Soldier
SCAR-20（StatTrak™） | 丛林爆发=StatTrak™ SCAR-20 | Outbreak
PP-野牛（StatTrak™） | 古董枪=StatTrak™ PP-Bizon | Antique
AWP | 美杜莎=AWP | Medusa
双持贝瑞塔 | 雇佣兵=Dual Berettas | Contractor
新星 | 暴怒野兽=Nova | Hyper Beast
AUG | 殖民侵略者=AUG | Colony
MP9（纪念品） | 沙漠虚线=Souvenir MP9 | Sand Dashed
XM1014 | 蓝色云杉=XM1014 | Blue Spruce
加利尔 AR | 深红海啸=Galil AR | Crimson Tsunami
加利尔 AR | 冷石=Galil AR | Stone Cold
暗影双匕（★ StatTrak™） | 屠夫=★ StatTrak™ Shadow Daggers | Slaughter
MP7（纪念品） | 主板=Souvenir MP7 | Motherboard
AUG（纪念品） | 众枪之的=Souvenir AUG | Condemned
蝴蝶刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Butterfly Knife | Safari Mesh
XM1014（纪念品） | 蓝色云杉=Souvenir XM1014 | Blue Spruce
AWP | 暴怒野兽=AWP | Hyper Beast
穿肠刀（★） | 噩梦之夜=★ Gut Knife | Night
折叠刀（★ StatTrak™） | 虎牙=★ StatTrak™ Flip Knife | Tiger Tooth
M4A4 | 皇帝=M4A4 | The Emperor
PP-野牛（StatTrak™） | 水蓝条纹=StatTrak™ PP-Bizon | Blue Streak
Tec-9（纪念品） | 核子威慑=Souvenir Tec-9 | Nuclear Threat
刺刀（★） | 枯焦之色=★ Bayonet | Scorched
MAG-7 | 海鸟=MAG-7 | Seabird
双持贝瑞塔（StatTrak™） | 海斗士=StatTrak™ Dual Berettas | Marina
USP 消音版 | 公路杀手=USP-S | Road Rash
USP 消音版 | 引擎故障灯=USP-S | Check Engine
SSG 08（纪念品） | 蓝色云杉=Souvenir SSG 08 | Blue Spruce
R8 左轮手枪（StatTrak™） | 头骨粉碎者=StatTrak™ R8 Revolver | Skull Crusher
PP-野牛 | 买定离手=PP-Bizon | High Roller
九头蛇手套（★） | 翡翠色调=★ Hydra Gloves | Emerald
猎杀者匕首（★） | 深红之网=★ Huntsman Knife | Crimson Web
折刀（★ StatTrak™） | 夜色=★ StatTrak™ Navaja Knife | Night Stripe
M4A1 消音型 | 黑水=M4A1-S | Dark Water
MP7（StatTrak™） | 血腥运动=StatTrak™ MP7 | Bloodsport
SG 553 | 威吓者=SG 553 | Bulldozer
MAG-7（StatTrak™） | 炽热=StatTrak™ MAG-7 | Heat
刺刀（★ StatTrak™） | 伽玛多普勒=★ StatTrak™ Bayonet | Gamma Doppler
MP7（StatTrak™） | 帝国=StatTrak™ MP7 | Impire
裹手（★） | 屠夫=★ Hand Wraps | Slaughter
SSG 08（纪念品） | 渐变强酸=Souvenir SSG 08 | Acid Fade
PP-野牛（纪念品） | 设施系列·速写图=Souvenir PP-Bizon | Facility Sketch
FN57 | 狩猎利器=Five-SeveN | Fowl Play
PP-野牛 | 死亡主宰者=PP-Bizon | Osiris
M9 刺刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ M9 Bayonet | Forest DDPAT
SG 553（StatTrak™） | 阿罗哈=StatTrak™ SG 553 | Aloha
P2000（StatTrak™） | 至高帝皇=StatTrak™ P2000 | Imperial
SSG 08（StatTrak™） | 鬼脸天蛾=StatTrak™ SSG 08 | Death's Head
P90（纪念品） | 辐射警告=Souvenir P90 | Fallout Warning
锯齿爪刀（★） | 狩猎网格=★ Talon Knife | Safari Mesh
G3SG1（纪念品） | 沙漠风暴=Souvenir G3SG1 | Desert Storm
暗影双匕（★） | 大马士革钢=★ Shadow Daggers | Damascus Steel
折刀（★ StatTrak™） | 人工染色=★ StatTrak™ Navaja Knife | Stained
AWP（纪念品） | 冥界之河=Souvenir AWP | Acheron
穿肠刀（★ StatTrak™） | 虎牙=★ StatTrak™ Gut Knife | Tiger Tooth
AK-47（纪念品） | 安全网=Souvenir AK-47 | Safety Net
MP7（纪念品） | 硝烟=Souvenir MP7 | Gunsmoke
XM1014 | 辐射警告=XM1014 | Fallout Warning
短剑（★ StatTrak™） | 外表生锈=★ StatTrak™ Stiletto Knife | Rust Coat
M4A1 消音型（纪念品） | 神来之作=Souvenir M4A1-S | Master Piece
P90 | 暴风呼啸=P90 | Storm
内格夫 | 大嘴巴=Negev | Loudmouth
M4A4 | 波塞冬=M4A4 | Poseidon
XM1014（纪念品） | 加州迷彩=Souvenir XM1014 | CaliCamo
SG 553 | 擎天神=SG 553 | Atlas
M9 刺刀（★ StatTrak™） | 伽玛多普勒=★ StatTrak™ M9 Bayonet | Gamma Doppler
M4A1 消音型 | 伊卡洛斯殒落=M4A1-S | Icarus Fell
AUG | 暴风呼啸=AUG | Storm
AK-47 | 荒野反叛=AK-47 | Wasteland Rebel
折刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Navaja Knife | Damascus Steel
法玛斯 | 冥界之憎=FAMAS | Styx
UMP-45 | 迷幻=UMP-45 | Delusion
蝴蝶刀（★） | 表面淬火=★ Butterfly Knife | Case Hardened
MP7（纪念品） | 深蓝电镀处理=Souvenir MP7 | Anodized Navy
双持贝瑞塔（StatTrak™） | 通风机=StatTrak™ Dual Berettas | Ventilators
短剑（★） | 狩猎网格=★ Stiletto Knife | Safari Mesh
SG 553（纪念品） | 大马士革钢=Souvenir SG 553 | Damascus Steel
短剑（★） | 多普勒=★ Stiletto Knife | Doppler
锯齿爪刀（★ StatTrak™） | 屠夫=★ StatTrak™ Talon Knife | Slaughter
AK-47 | 火蛇=AK-47 | Fire Serpent
G3SG1 | 多变迷彩=G3SG1 | VariCamo
折刀（★） | 虎牙=★ Navaja Knife | Tiger Tooth
暗影双匕（★） | 多普勒=★ Shadow Daggers | Doppler
穿肠刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Gut Knife | Fade
PP-野牛 | 收割机=PP-Bizon | Harvester
MP9 | 赤红新星=MP9 | Hot Rod
M4A4（StatTrak™） | 喧嚣杀戮=StatTrak™ M4A4 | Buzz Kill
熊刀（★ StatTrak™） | 屠夫=★ StatTrak™ Ursus Knife | Slaughter
M4A4 | 辐射危机=M4A4 | Radiation Hazard
R8 左轮手枪 | 深红之网=R8 Revolver | Crimson Web
M4A1 消音型 | 金蛇缠绕=M4A1-S | Golden Coil
刺刀（★） | 屠夫=★ Bayonet | Slaughter
MP7（纪念品） | 陆军斥候=Souvenir MP7 | Army Recon
AWP | 蠕虫之神=AWP | Worm God
穿肠刀（★） | 自动化=★ Gut Knife | Autotronic
P2000 | 火灵=P2000 | Fire Elemental
UMP-45（StatTrak™） | 动量=StatTrak™ UMP-45 | Momentum
MP9（StatTrak™） | 蛊惑之色=StatTrak™ MP9 | Hypnotic
爪子刀（★） | 北方森林=★ Karambit | Boreal Forest
MAG-7（StatTrak™） | 石雕=StatTrak™ MAG-7 | Petroglyph
爪子刀（★） | 大马士革钢=★ Karambit | Damascus Steel
锯齿爪刀（★） | 深红之网=★ Talon Knife | Crimson Web
CZ75 自动手枪（StatTrak™） | 黄夹克=StatTrak™ CZ75-Auto | Yellow Jacket
沙漠之鹰（StatTrak™） | 遗产=StatTrak™ Desert Eagle | Heirloom
熊刀（★ StatTrak™） | 北方森林=★ StatTrak™ Ursus Knife | Boreal Forest
锯齿爪刀（★） | 屠夫=★ Talon Knife | Slaughter
P2000 | 珊瑚树=P2000 | Corticera
AWP | 二西莫夫=AWP | Asiimov
PP-野牛 | 碳素纤维=PP-Bizon | Carbon Fiber
M249 | 鬼影=M249 | Spectre
AK-47 | 轨道 Mk01=AK-47 | Orbit Mk01
折叠刀（★） | 澄澈之水=★ Flip Knife | Bright Water
SSG 08 | 迂回路线=SSG 08 | Detour
AK-47（StatTrak™） | 红线=StatTrak™ AK-47 | Redline
沙漠之鹰（StatTrak™） | 青铜装饰=StatTrak™ Desert Eagle | Bronze Deco
Tec-9 | 蛇-9=Tec-9 | Snek-9
UMP-45（纪念品） | 紫青之色=Souvenir UMP-45 | Indigo
蝴蝶刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Butterfly Knife | Ultraviolet
M9 刺刀（★） | 外表生锈=★ M9 Bayonet | Rust Coat
G3SG1（纪念品） | 极地迷彩=Souvenir G3SG1 | Polar Camo
法玛斯 | 蓝巢=FAMAS | Hexane
G3SG1（StatTrak™） | 猎人=StatTrak™ G3SG1 | Hunter
SSG 08 | 蓝色云杉=SSG 08 | Blue Spruce
USP 消音版（纪念品） | 引擎故障灯=Souvenir USP-S | Check Engine
CZ75 自动手枪 | 红鹰=CZ75-Auto | Red Astor
加利尔 AR（StatTrak™） | ~甜甜的~=StatTrak™ Galil AR | Sugar Rush
双持贝瑞塔（纪念品） | 深蓝电镀处理=Souvenir Dual Berettas | Anodized Navy
MP5-SD | 协处理器=MP5-SD | Co-Processor
新星 | 玩具士兵=Nova | Toy Soldier
XM1014 | 天空守卫=XM1014 | Heaven Guard
AK-47（StatTrak™） | 深海复仇=StatTrak™ AK-47 | Aquamarine Revenge
内格夫 | 深蓝电镀处理=Negev | Anodized Navy
熊刀（★） | 屠夫=★ Ursus Knife | Slaughter
弯刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Falchion Knife | Urban Masked
UMP-45 | 都市 DDPAT=UMP-45 | Urban DDPAT
M9 刺刀（★） | 澄澈之水=★ M9 Bayonet | Bright Water
鲍伊猎刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Bowie Knife | Urban Masked
爪子刀（★） | 虎牙=★ Karambit | Tiger Tooth
SSG 08 | 手刹=SSG 08 | Hand Brake
锯齿爪刀（★） | 多普勒=★ Talon Knife | Doppler
MP7 | 橄榄格纹=MP7 | Olive Plaid
熊刀（★） | 人工染色=★ Ursus Knife | Stained
折叠刀（★） | 都市伪装=★ Flip Knife | Urban Masked
加利尔 AR（StatTrak™） | 火线冲锋=StatTrak™ Galil AR | Firefight
SSG 08 | 渐变强酸=SSG 08 | Acid Fade
Tec-9（纪念品） | 地下水=Souvenir Tec-9 | Groundwater
法玛斯 | 机械工业=FAMAS | Mecha Industries
折叠刀（★） | 噩梦之夜=★ Flip Knife | Night
USP 消音版（StatTrak™） | 蓝图=StatTrak™ USP-S | Blueprint
XM1014 | 加州迷彩=XM1014 | CaliCamo
P90 | 摧枯拉朽=P90 | Teardown
穿肠刀（★ StatTrak™） | 传说=★ StatTrak™ Gut Knife | Lore
MP9（StatTrak™） | 毛细血管=StatTrak™ MP9 | Capillary
法玛斯（StatTrak™） | 残影=StatTrak™ FAMAS | Afterimage
格洛克 18 型（StatTrak™） | 异星世界=StatTrak™ Glock-18 | Off World
AWP（StatTrak™） | 鬼退治=StatTrak™ AWP | Oni Taiji
CZ75 自动手枪 | 绿色格纹=CZ75-Auto | Green Plaid
格洛克 18 型 | 夺命撼响=Glock-18 | Death Rattle
FN57（StatTrak™） | 暴怒野兽=StatTrak™ Five-SeveN | Hyper Beast
M4A1 消音型（StatTrak™） | 破碎铅秋=StatTrak™ M4A1-S | Leaded Glass
爪子刀（★ StatTrak™） | 深红之网=★ StatTrak™ Karambit | Crimson Web
截短霰弹枪 | 辐照警报=Sawed-Off | Irradiated Alert
P90 | 精雕木刻=P90 | Shapewood
穿肠刀（★） | 黑色层压板=★ Gut Knife | Black Laminate
折叠刀（★） | 致命紫罗兰=★ Flip Knife | Ultraviolet
SSG 08 | 玛雅之梦=SSG 08 | Mayan Dreams
M9 刺刀（★ StatTrak™） | 深红之网=★ StatTrak™ M9 Bayonet | Crimson Web
M4A4（StatTrak™） | 死寂空间=StatTrak™ M4A4 | Desolate Space
AUG（纪念品） | 辐射危机=Souvenir AUG | Radiation Hazard
AK-47（StatTrak™） | 前线迷雾=StatTrak™ AK-47 | Frontside Misty
M4A1 消音型（StatTrak™） | 简报=StatTrak™ M4A1-S | Briefing
截短霰弹枪（纪念品） | 蝮蛇迷彩=Souvenir Sawed-Off | Snake Camo
爪子刀（★ StatTrak™） | 伽玛多普勒=★ StatTrak™ Karambit | Gamma Doppler
CZ75 自动手枪（StatTrak™） | 螺形扭转=StatTrak™ CZ75-Auto | Twist
专业手套（★） | 翠绿之网=★ Specialist Gloves | Emerald Web
Tec-9（纪念品） | 遥控=Souvenir Tec-9 | Remote Control
鲍伊猎刀（★） | 屠夫=★ Bowie Knife | Slaughter
加利尔 AR | 冰核聚变=Galil AR | Cold Fusion
XM1014 | 斯康里娅=XM1014 | Scumbria
爪子刀（★ StatTrak™） | 多普勒=★ StatTrak™ Karambit | Doppler
UMP-45 | 碳素纤维=UMP-45 | Carbon Fiber
暗影双匕（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Shadow Daggers | Night
SG 553（StatTrak™） | 电子脉冲=StatTrak™ SG 553 | Pulse
P250（StatTrak™） | 超新星=StatTrak™ P250 | Supernova
SSG 08 | 无尽深海=SSG 08 | Abyss
Tec-9（StatTrak™） | 破铜烂铁=StatTrak™ Tec-9 | Fubar
SG 553（StatTrak™） | 轻空=StatTrak™ SG 553 | Aerial
MP9 | 沙漠虚线=MP9 | Sand Dashed
MP9 | 中度威胁=MP9 | Modest Threat
UMP-45（StatTrak™） | 支架=StatTrak™ UMP-45 | Scaffold
蝴蝶刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Butterfly Knife | Forest DDPAT
G3SG1 | 行刑者=G3SG1 | The Executioner
穿肠刀（★ StatTrak™） | 屠夫=★ StatTrak™ Gut Knife | Slaughter
M9 刺刀（★） | 都市伪装=★ M9 Bayonet | Urban Masked
折叠刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Flip Knife | Damascus Steel
P2000 | 寻路者=P2000 | Pathfinder
P250（StatTrak™） | 红巢=StatTrak™ P250 | Hive
USP 消音版 | 不锈钢=USP-S | Stainless
Tec-9 | 都市 DDPAT=Tec-9 | Urban DDPAT
M4A1 消音型 | 女火神之炽焰=M4A1-S | Chantico's Fire
AWP | 狩猎网格=AWP | Safari Mesh
新星（纪念品） | 极地网格=Souvenir Nova | Polar Mesh
M4A4 | 皇家圣骑士=M4A4 | Royal Paladin
USP 消音版 | 午夜行动=USP-S | Night Ops
P2000 | 银质=P2000 | Silver
AUG | 三角战术=AUG | Triqua
FN57（纪念品） | 雇佣兵=Souvenir Five-SeveN | Contractor
SCAR-20（StatTrak™） | 深红之网=StatTrak™ SCAR-20 | Crimson Web
截短霰弹枪 | 北海巨妖=Sawed-Off | The Kraken
XM1014 | 剧毒水银=XM1014 | Quicksilver
FN57（StatTrak™） | 三位—体=StatTrak™ Five-SeveN | Triumvirate
MAG-7（纪念品） | 核芯破裂=Souvenir MAG-7 | Core Breach
沙漠之鹰（StatTrak™） | 纳迦蛇神=StatTrak™ Desert Eagle | Naga
暗影双匕（★） | 狩猎网格=★ Shadow Daggers | Safari Mesh
AUG | 扫频仪=AUG | Sweeper
沙漠之鹰 | 青铜装饰=Desert Eagle | Bronze Deco
短剑（★） | 夜色=★ Stiletto Knife | Night Stripe
锯齿爪刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Talon Knife | Safari Mesh
新星 | 芯轴=Nova | Mandrel
熊刀（★） | 渐变之色=★ Ursus Knife | Fade
G3SG1 | 柯罗诺斯=G3SG1 | Chronos
爪子刀（★ StatTrak™） | 黑色层压板=★ StatTrak™ Karambit | Black Laminate
法玛斯 | 电子脉冲=FAMAS | Pulse
USP 消音版（纪念品） | 公路杀手=Souvenir USP-S | Road Rash
双持贝瑞塔 | 卡特尔=Dual Berettas | Cartel
蝴蝶刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Butterfly Knife | Damascus Steel
加利尔 AR（StatTrak™） | 神祗=StatTrak™ Galil AR | Kami
血猎手套（★） | 焦炭=★ Bloodhound Gloves | Charred
SCAR-20（纪念品） | 暴风呼啸=Souvenir SCAR-20 | Storm
PP-野牛 | 沙漠虚线=PP-Bizon | Sand Dashed
SG 553（纪念品） | 辐射警告=Souvenir SG 553 | Fallout Warning
AWP | 石墨黑=AWP | Graphite
P90（StatTrak™） | 三角=StatTrak™ P90 | Trigon
双持贝瑞塔 | 都市冲击=Dual Berettas | Urban Shock
截短霰弹枪（纪念品） | 辐照警报=Souvenir Sawed-Off | Irradiated Alert
M4A1 消音型（StatTrak™） | 毁灭者 2000=StatTrak™ M4A1-S | Decimator
SCAR-20（纪念品） | 雇佣兵=Souvenir SCAR-20 | Contractor
AUG | 力矩=AUG | Torque
AK-47 | 霓虹骑士=AK-47 | Neon Rider
熊刀（★ StatTrak™） | 人工染色=★ StatTrak™ Ursus Knife | Stained
AK-47 | 深海复仇=AK-47 | Aquamarine Revenge
M9 刺刀（★ StatTrak™） | 传说=★ StatTrak™ M9 Bayonet | Lore
AK-47（StatTrak™） | 轨道 Mk01=StatTrak™ AK-47 | Orbit Mk01
蝴蝶刀（★） | 狩猎网格=★ Butterfly Knife | Safari Mesh
鲍伊猎刀（★） | 表面淬火=★ Bowie Knife | Case Hardened
XM1014 | 焚烬之鳄=XM1014 | Incinegator
MAG-7 | SWAG-7=MAG-7 | SWAG-7
猎杀者匕首（★） | 大马士革钢=★ Huntsman Knife | Damascus Steel
CZ75 自动手枪（StatTrak™） | 毒镖=StatTrak™ CZ75-Auto | Poison Dart
穿肠刀（★） | 都市伪装=★ Gut Knife | Urban Masked
刺刀（★） | 伽玛多普勒=★ Bayonet | Gamma Doppler
法玛斯 | 元素轮廓=FAMAS | Valence
穿肠刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Gut Knife | Blue Steel
M9 刺刀（★） | 多普勒=★ M9 Bayonet | Doppler
AK-47 | 翡翠细条纹=AK-47 | Emerald Pinstripe
爪子刀（★） | 自由之手=★ Karambit | Freehand
M4A4（StatTrak™） | 黑色魅影=StatTrak™ M4A4 | Neo-Noir
M4A1 消音型 | 控制台=M4A1-S | Control Panel
CZ75 自动手枪（StatTrak™） | 蓝巢=StatTrak™ CZ75-Auto | Hexane
XM1014（StatTrak™） | 四季=StatTrak™ XM1014 | Seasons
熊刀（★ StatTrak™） | 夜色=★ StatTrak™ Ursus Knife | Night Stripe
双持贝瑞塔 | 黑榄仁木=Dual Berettas | Black Limba
G3SG1 | 橙光冲击=G3SG1 | Orange Crash
R8 左轮手枪 | 氮化处理=R8 Revolver | Nitro
MP7 | 渐变之色=MP7 | Fade
SCAR-20（StatTrak™） | 蓝洞=StatTrak™ SCAR-20 | Grotto
USP 消音版 | 血清=USP-S | Serum
P90 | 枯焦之色=P90 | Scorched
沙漠之鹰（纪念品） | 都市 DDPAT=Souvenir Desert Eagle | Urban DDPAT
AK-47（StatTrak™） | 皇后=StatTrak™ AK-47 | The Empress
PP-野牛 | 核燃料棒=PP-Bizon | Fuel Rod
蝴蝶刀（★） | 北方森林=★ Butterfly Knife | Boreal Forest
加利尔 AR | 战吼斑纹=Galil AR | Akoben
MAC-10（StatTrak™） | 阿罗哈=StatTrak™ MAC-10 | Aloha
Tec-9 | 钛片=Tec-9 | Titanium Bit
弯刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Falchion Knife | Scorched
MAC-10 | 诅咒=MAC-10 | Curse
截短霰弹枪（StatTrak™） | 路霸=StatTrak™ Sawed-Off | Highwayman
MAC-10（纪念品） | 渐变琥珀=Souvenir MAC-10 | Amber Fade
Tec-9（StatTrak™） | 蓝钛=StatTrak™ Tec-9 | Blue Titanium
MP9 | 潘多拉魔盒=MP9 | Pandora's Box
UMP-45（StatTrak™） | 迷幻=StatTrak™ UMP-45 | Delusion
CZ75 自动手枪 | 相柳=CZ75-Auto | Xiangliu
鲍伊猎刀（★） | 森林 DDPAT=★ Bowie Knife | Forest DDPAT
暗影双匕（★） | 渐变大理石=★ Shadow Daggers | Marble Fade
沙漠之鹰 | 泥地杀手=Desert Eagle | Mudder
AUG | 燕群=AUG | Fleet Flock
FN57 | 氮化处理=Five-SeveN | Nitro
R8 左轮手枪 | 渐变琥珀=R8 Revolver | Amber Fade
运动手套（★） | 超导体=★ Sport Gloves | Superconductor
蝴蝶刀（★） | 枯焦之色=★ Butterfly Knife | Scorched
格洛克 18 型 | 铁之作=Glock-18 | Ironwork
UMP-45（StatTrak™） | 白狼=StatTrak™ UMP-45 | Arctic Wolf
MAG-7（纪念品） | 银质=Souvenir MAG-7 | Silver
P90 | 冷血无情=P90 | Grim
MAG-7（StatTrak™） | 记忆碎片=StatTrak™ MAG-7 | Memento
Tec-9 | 青竹伪装=Tec-9 | Bamboozle
AWP | 树蝰=AWP | Atheris
P90（StatTrak™） | 死亡之握=StatTrak™ P90 | Death Grip
